주소,위도,경도
도봉구 시루봉로22길,37.6686629659284,127.037895671958
서대문구 북아현로11가길,37.5630966172346,126.954281891962
중랑구 면목로72가길,37.5870752209836,127.089004442835
강서구 초원로,37.5677908631317,126.810913479175
영등포구 영등포로13길,37.5237790097879,126.889189966165
광진구 자양로,37.5423709029766,127.084161029776
용산구 청파로57길,37.5468974215832,126.969057977756
마포구 성미산로18길,37.560878552738,126.91850757639
용산구 소월로2나길,37.5536342084401,126.977517864876
용산구 청파로43길,37.5436648016171,126.968658856357
광진구 아차산로23길,37.5438293587254,127.066811929491
구로구 구로중앙로22길,37.4978204389812,126.889367430782
서대문구 통일로40안길,37.5909894049935,126.944196337925
용산구 보광로7길,37.525665160361,126.999324510606
서대문구 가좌로,37.5800980914044,126.928307542437
서대문구 연희로,37.5754792244879,126.935307276944
은평구 통일로82나길,37.6224981674254,126.921385393682
구로구 고척로41가길,37.5045988762646,126.850635003486
성북구 솔샘로7길,37.6107055568623,127.004458023618
강서구 방화대로45길,37.5742835201276,126.814150141458
영등포구 도신로19길,37.5075393612879,126.90003490804
광진구 동일로60길,37.558083743051,127.074977270054
용산구 회나무로28가길,37.5385415440144,126.991909253199
송파구 동남로9길,37.49476795514,127.126824640594
광진구 뚝섬로44길,37.5317388547446,127.07602060503
동작구 성대로6가길,37.4960637671055,126.934469138783
노원구 동일로178길,37.6213946758502,127.076222699576
관악구 남부순환로166길,37.4813145563827,126.923686690089
영등포구 도림로113길,37.5088735697907,126.898242256552
동대문구 전농로17길,37.5790010645205,127.055607918873
동작구 장승배기로16가길,37.5065569910948,126.940286740439
동작구 신대방1가길,37.4867986156353,126.907631774586
강동구 천중로5길,37.5466113863803,127.12383062269
동대문구 망우로14가길,37.5871217956764,127.059332938983
용산구 청파로43다길,37.5427403885843,126.969393274259
마포구 창전로2길,37.5489148657356,126.933826413214
은평구 응암로34길,37.5979000111581,126.922636851613
동작구 사당로16다길,37.4833101454262,126.970046850249
양천구 신정중앙로21길,37.5271067635691,126.861063074348
동대문구 망우로12나길,37.5873750705874,127.058417969298
광진구 동일로4길,37.5360320974028,127.062889737774
동작구 남부순환로265길,37.4783134482675,126.974383221271
송파구 오금로11길,37.5154268148685,127.111087252218
관악구 원신길,37.466017250927,126.930164533419
관악구 남부순환로168라길,37.480157975995,126.925165217224
관악구 인헌15길,37.471464344069,126.968138716083
성북구 화랑로18길,37.6056591403365,127.050231311658
마포구 독막로,37.5474735237527,126.932212423234
영등포구 도림로108나길,37.5083775437555,126.902815652392
노원구 동일로190길,37.6257705726904,127.074983468055
관악구 낙성대역8길,37.473856989777,126.962079791678
관악구 남부순환로184길,37.4834885912217,126.932086656488
송파구 거마로9길,37.4969251317326,127.143825175466
관악구 남부순환로247길,37.4780966265321,126.966012923648
관악구 신림로50길,37.4797860050134,126.932277120393
도봉구 해등로16길,37.6551234368698,127.042984197771
중랑구 용마산로58길,37.5784399242837,127.092632105728
성동구 둘레5길,37.5378149537924,127.048015047513
강서구 등촌로39라길,37.5466301778338,126.860995049537
노원구 덕릉로115가길,37.667568171629,127.078606128926
동대문구 전농로16길,37.5782421248303,127.060086875317
동작구 동작대로5길,37.4790324442113,126.981016202546
관악구 난향9길,37.4612431581558,126.914916656569
관악구 조원로8길,37.4827854686099,126.905734645682
양천구 목동중앙서로,37.5327817609574,126.86672975045
은평구 진흥로5길,37.6027591024821,126.919874758152
강동구 양재대로87길,37.5259274090237,127.132698407575
중랑구 망우로30길,37.5922119353206,127.074890793038
강동구 양재대로117길,37.5400126537049,127.139351689267
서대문구 증가로8길,37.5788690243158,126.92593767629
영등포구 디지털로,37.4921709427061,126.902997790458
강동구 암사길,37.5519443041503,127.135795416859
서대문구 신촌로3길,37.5594594706518,126.929701659304
성동구 마조로,37.5615612419343,127.041538241953
은평구 은평터널로7길,37.5924398925818,126.903853343902
성동구 왕십리로31가길,37.5640313040013,127.028922958699
강동구 진황도로33길,37.5383439662713,127.134487431226
성동구 마조로19길,37.5639933314362,127.038250512221
성북구 동소문로,37.596777909164,127.02137996202
광진구 면목로3길,37.556119879083,127.074487634099
강남구 밤고개로24길,37.4721971560599,127.106177680728
관악구 행운2길,37.4789221729798,126.960903578868
관악구 신원로3가길,37.4810522093509,126.927301178964
송파구 백제고분로23길,37.5054331913343,127.091608316403
관악구 봉천로45길,37.483270304225,126.949385591929
마포구 와우산로29가길,37.5538613485003,126.926954374513
동작구 상도로37길,37.5004392297797,126.950787294403
관악구 문성로40길,37.4774922384859,126.93122460702
중구 왕십리로,37.5650551040901,127.025407059562
마포구 양화로15안길,37.5540891542423,126.918601998657
동작구 상도로47길,37.5019282089609,126.952045602345
관악구 봉천로33가길,37.4842444024046,126.944990969499
서대문구 연희로10길,37.5651932346339,126.932643236469
마포구 희우정로20길,37.5558176914289,126.902510413936
관악구 남부순환로234길,37.477424972021,126.956537473777
송파구 송파대로,37.5008392832178,127.111182460215
동대문구 신이문로2길,37.6016161046713,127.062536888322
관악구 국회단지길,37.488748476562,126.94166186123
강남구 강남대로156길,37.518514540165,127.021108075322
영등포구 도신로35길,37.5103083213872,126.908242421687
중랑구 면목로44가길,37.5825699371496,127.089901623942
강동구 풍성로56길,37.5279416240794,127.134744002919
관악구 청룡9길,37.4787459827224,126.946532470141
양천구 남부순환로40길,37.5332323019254,126.826584276485
서초구 방배로25길,37.4881164213967,126.990962970167
성북구 동소문로15길,37.5943376153135,127.014605598745
서초구 서초대로54길,37.4931049057323,127.016125775818
동대문구 답십리로72길,37.5687569060489,127.072880191704
