NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,구_추출,상세주소,주소,위도,경도,행정동
27,서울특별시 구로구 구로동,5**,12m미만,36.0,월세,202411,28,"5,500",15,1995.0,구로중앙로22길,202411~202511,신규,-,,,다가구,구로구,구로구 구로중앙로22길,구로구 구로중앙로22길,37.4978204389812,126.889367430782,구로5동
28,서울특별시 광진구 화양동,3*,8m미만,20.0,월세,202411,28,"5,000",40,2010.0,아차산로23길,202412~202611,신규,-,,,단독,광진구,광진구 아차산로23길,광진구 아차산로23길,37.5438293587254,127.066811929491,화양동
29,서울특별시 송파구 가락동,1**,12m미만,25.0,월세,202411,28,"1,000",70,2013.0,동남로9길,202412~202612,신규,-,,,다가구,송파구,송파구 동남로9길,송파구 동남로9길,37.49476795514,127.126824640594,가락2동
30,서울특별시 관악구 신림동,1***,8m미만,31.2,전세,202411,28,"23,500",0,2013.0,남부순환로166길,202401~202601,신규,-,,,단독,관악구,관악구 남부순환로166길,관악구 남부순환로166길,37.4813145563827,126.923686690089,신원동
31,서울특별시 서초구 서초동,1***,8m미만,23.1,월세,202411,28,"1,000",75,2002.0,서초대로54길,202502~202602,신규,-,,,다가구,서초구,서초구 서초대로54길,서초구 서초대로54길,37.4931049057323,127.016125775818,서초1동
32,서울특별시 송파구 마천동,1**,12m미만,67.89,전세,202411,28,"11,000",0,1990.0,마천로41길,202412~202612,갱신,-,"11,000",0.0,다가구,송파구,송파구 마천로41길,송파구 마천로41길,37.4971349391685,127.149586590462,마천2동
33,서울특별시 관악구 신림동,8**,25m미만,49.58,전세,202411,28,"3,000",0,1984.0,원신길,202411~202611,갱신,-,"3,000",0.0,단독,관악구,관악구 원신길,관악구 원신길,37.466017250927,126.930164533419,삼성동
34,서울특별시 강동구 성내동,3**,8m미만,49.5,월세,202411,28,"5,000",45,1997.0,천호대로174길,202501~202701,신규,-,,,다가구,강동구,강동구 천호대로174길,강동구 천호대로174길,37.5334479862953,127.134360860362,성내3동
35,서울특별시 송파구 문정동,2*,12m미만,36.0,전세,202411,28,"12,500",0,1988.0,동남로6가길,202412~202612,신규,-,,,단독,송파구,송파구 동남로6가길,송파구 동남로6가길,37.4892280625796,127.125523863714,문정1동
36,서울특별시 강동구 천호동,3**,8m미만,21.5,월세,202411,28,100,35,1990.0,천중로5길,202411~202502,신규,-,,,단독,강동구,강동구 천중로5길,강동구 천중로5길,37.5466113863803,127.12383062269,천호2동
37,서울특별시 강동구 길동,1**,8m미만,33.0,전세,202411,28,"15,000",0,1998.0,천호대로197길,202412~202612,신규,-,,,다가구,강동구,강동구 천호대로197길,강동구 천호대로197길,37.5382285086047,127.146994633057,길동
38,서울특별시 서초구 방배동,9**,8m미만,29.0,월세,202411,28,500,40,1995.0,방배로15길,202411~202512,신규,-,,,다가구,서초구,서초구 방배로15길,서초구 방배로15길,37.4836199444949,126.993842144831,방배1동
39,서울특별시 관악구 봉천동,1***,8m미만,13.2,월세,202411,28,"1,000",50,2015.0,행운2길,202412~202611,신규,-,,,단독,관악구,관악구 행운2길,관악구 행운2길,37.4789221729798,126.960903578868,행운동
40,서울특별시 관악구 봉천동,1**,8m미만,36.96,월세,202411,28,"1,000",58,1991.0,인헌13길,202411~202611,신규,-,,,다가구,관악구,관악구 인헌13길,관악구 인헌13길,37.472330943823,126.968504510443,인헌동
41,서울특별시 관악구 봉천동,9**,8m미만,30.0,월세,202411,28,"15,000",65,,봉천로33가길,202412~202612,신규,-,,,다가구,관악구,관악구 봉천로33가길,관악구 봉천로33가길,37.4842444024046,126.944990969499,은천동
42,서울특별시 관악구 봉천동,8**,8m미만,21.0,월세,202411,28,"3,000",85,,청룡5길,202411~202511,신규,-,,,다가구,관악구,관악구 청룡5길,관악구 청룡5길,37.4802747411598,126.946767902141,청룡동
43,서울특별시 서초구 양재동,3**,12m미만,41.28,전세,202411,27,"25,250",0,1997.0,동산로8길,202411~202611,갱신,-,"24,150",0.0,다가구,서초구,서초구 동산로8길,서초구 동산로8길,37.4702043117111,127.045758239855,양재2동
44,서울특별시 서초구 양재동,1*,8m미만,59.0,전세,202411,27,"35,000",0,2000.0,바우뫼로39길,202412~202612,신규,-,,,다가구,서초구,서초구 바우뫼로39길,서초구 바우뫼로39길,37.4817790567561,127.039743833675,양재1동
45,서울특별시 관악구 신림동,1***,8m미만,48.0,월세,202411,27,"5,000",55,1997.0,남부순환로168라길,202501~202701,신규,-,,,단독,관악구,관악구 남부순환로168라길,관악구 남부순환로168라길,37.480157975995,126.925165217224,신원동
46,서울특별시 강동구 상일동,4**,25m미만,20.0,월세,202411,27,"1,000",50,1989.0,천호대로219길,202411~202611,신규,-,,,다가구,강동구,강동구 천호대로219길,강동구 천호대로219길,37.5481637480153,127.17081725072,상일동
47,서울특별시 강동구 고덕동,2**,12m미만,31.14,전세,202411,27,"10,000",0,1988.0,아리수로78길,202412~202612,신규,-,,,단독,강동구,강동구 아리수로78길,강동구 아리수로78길,37.561469883888,127.163797610033,고덕2동
48,서울특별시 관악구 신림동,8*,8m미만,36.72,월세,202411,27,"12,000",30,1997.0,신림로56길,202412~202612,갱신,-,"12,000",20.0,단독,관악구,관악구 신림로56길,관악구 신림로56길,37.4811865136932,126.931461815491,서원동
49,서울특별시 관악구 신림동,1***,8m미만,17.0,월세,202411,27,"3,000",20,2006.0,봉천로8길,202412~202612,신규,-,,,단독,관악구,관악구 봉천로8길,관악구 봉천로8길,37.4884555177119,126.926998773588,신림동
50,서울특별시 강남구 역삼동,6**,8m미만,31.23,월세,202411,27,500,75,1996.0,봉은사로52길,202411~202601,신규,-,,,다가구,강남구,강남구 봉은사로52길,강남구 봉은사로52길,37.5096761233366,127.043067257499,역삼1동
51,서울특별시 동작구 신대방동,6**,8m미만,16.0,월세,202411,27,"4,000",25,2009.0,신대방1가길,202412~202611,신규,-,,,단독,동작구,동작구 신대방1가길,동작구 신대방1가길,37.4867986156353,126.907631774586,신대방1동
53,서울특별시 관악구 신림동,9*,8m미만,20.0,전세,202411,27,"20,000",0,2002.0,신림로50길,202501~202701,신규,-,,,단독,관악구,관악구 신림로50길,관악구 신림로50길,37.4797860050134,126.932277120393,서원동
54,서울특별시 관악구 봉천동,9**,25m이상,17.32,전세,202411,27,"11,000",0,2017.0,봉천로,202412~202612,갱신,-,"11,000",0.0,단독,관악구,관악구 봉천로,관악구 봉천로,37.4864054907977,126.934924651248,보라매동
55,서울특별시 관악구 봉천동,1**,8m미만,20.83,전세,202411,27,"12,000",0,1996.0,인헌15길,202501~202701,신규,-,,,다가구,관악구,관악구 인헌15길,관악구 인헌15길,37.471464344069,126.968138716083,인헌동
56,서울특별시 관악구 봉천동,8**,8m미만,18.0,월세,202411,27,"1,000",60,2016.0,봉천로45길,202411~202611,신규,-,,,단독,관악구,관악구 봉천로45길,관악구 봉천로45길,37.483270304225,126.949385591929,중앙동
57,서울특별시 관악구 봉천동,6**,8m미만,23.0,전세,202411,27,"13,000",0,2022.0,봉천로13나길,202412~202611,신규,-,,,단독,관악구,관악구 봉천로13나길,관악구 봉천로13나길,37.4898827911352,126.932272302805,보라매동
59,서울특별시 강남구 개포동,1***,8m미만,45.97,월세,202411,27,"12,000",9,1996.0,개포로26길,202412~202612,신규,-,,,다가구,강남구,강남구 개포로26길,강남구 개포로26길,37.478017713607,127.049284712804,개포4동
60,서울특별시 강동구 암사동,5**,8m미만,20.0,월세,202411,27,"1,000",50,2011.0,상암로6길,202412~202612,신규,-,,,다가구,강동구,강동구 상암로6길,강동구 상암로6길,37.5491919066192,127.126576964368,암사2동
61,서울특별시 강동구 암사동,4**,8m미만,29.91,전세,202411,27,"9,000",0,1984.0,고덕로20가길,202412~202612,신규,-,,,단독,강동구,강동구 고덕로20가길,강동구 고덕로20가길,37.5540231313432,127.135676963978,암사1동
62,서울특별시 동작구 사당동,2**,12m미만,61.22,월세,202411,27,"1,000",40,1997.0,사당로2차길,202412~202612,신규,-,,,다가구,동작구,동작구 사당로2차길,동작구 사당로2차길,37.4867862514444,126.966419091177,사당5동
63,서울특별시 동작구 사당동,2**,8m미만,93.79,월세,202411,27,"3,000",50,2018.0,사당로16다길,202412~202612,신규,-,,,단독,동작구,동작구 사당로16다길,동작구 사당로16다길,37.4833101454262,126.970046850249,사당5동
64,서울특별시 강동구 천호동,1**,8m미만,28.0,전세,202411,27,"17,000",0,2017.0,진황도로33길,202412~202612,신규,-,,,단독,강동구,강동구 진황도로33길,강동구 진황도로33길,37.5383439662713,127.134487431226,천호3동
65,서울특별시 강동구 천호동,2**,8m미만,24.0,월세,202411,27,300,30,1993.0,구천면로40길,202412~202612,신규,-,,,다가구,강동구,강동구 구천면로40길,강동구 구천면로40길,37.5452563725385,127.13485493741,천호1동
66,서울특별시 송파구 풍납동,2**,8m미만,80.0,월세,202411,27,"10,000",40,1978.0,풍성로6길,202310~202510,신규,-,,,단독,송파구,송파구 풍성로6길,송파구 풍성로6길,37.5339246180294,127.114242007566,풍납2동
67,서울특별시 강남구 일원동,6**,12m미만,20.0,월세,202411,27,50,50,1987.0,개포로128길,202411~202412,신규,-,,,다가구,강남구,강남구 개포로128길,강남구 개포로128길,37.4935604534909,127.083846710881,일원1동
68,서울특별시 중구 신당동,1**,8m미만,60.48,전세,202411,27,"35,500",0,1988.0,왕십리로,202411~202611,갱신,사용,"35,000",0.0,단독,중구,중구 왕십리로,중구 왕십리로,37.5650551040901,127.025407059562,신당5동
69,서울특별시 성북구 삼선동1가,2**,8m미만,52.98,월세,202411,27,"10,000",25,,삼선교로8길,202412~202612,신규,-,,,단독,성북구,성북구 삼선교로8길,성북구 삼선교로8길,37.5861440738358,127.008135976028,삼선동
70,서울특별시 마포구 신수동,1**,8m미만,11.75,전세,202411,27,"11,000",0,1991.0,창전로2길,202412~202612,신규,-,,,다가구,마포구,마포구 창전로2길,마포구 창전로2길,37.5489148657356,126.933826413214,신수동
71,서울특별시 성동구 마장동,3**,8m미만,15.0,월세,202411,27,500,40,1988.0,마조로14가길,202412~202611,신규,-,,,다가구,성동구,성동구 마조로14가길,성동구 마조로14가길,37.5639919613639,127.043508466794,마장동
72,서울특별시 성북구 하월곡동,7*,8m미만,48.33,전세,202411,27,"10,000",0,1991.0,오패산로17길,202412~202612,신규,-,,,다가구,성북구,성북구 오패산로17길,성북구 오패산로17길,37.6082202341737,127.034909980665,월곡1동
73,서울특별시 종로구 명륜1가,9*,8m미만,15.0,월세,202411,27,"8,000",10,2013.0,혜화로3길,202412~202512,갱신,-,"8,000",10.0,단독,종로구,종로구 혜화로3길,종로구 혜화로3길,37.5863601333136,126.998565274335,혜화동
74,서울특별시 금천구 시흥동,8**,8m미만,20.59,월세,202411,27,200,25,1987.0,독산로18길,202411~202611,신규,-,,,단독,금천구,금천구 독산로18길,금천구 독산로18길,37.4535853003236,126.906941961612,시흥4동
75,서울특별시 동작구 노량진동,2**,8m미만,17.34,월세,202411,27,200,35,1992.0,노량진로8나길,202411~202611,신규,-,,,단독,동작구,동작구 노량진로8나길,동작구 노량진로8나길,37.5096396855849,126.936985263112,노량진2동
76,서울특별시 송파구 송파동,1**,8m미만,29.92,전세,202411,27,"6,300",0,1997.0,가락로23길,202501~202701,갱신,사용,"12,000",0.0,다가구,송파구,송파구 가락로23길,송파구 가락로23길,37.5041301995661,127.112046528991,송파1동
77,서울특별시 성동구 용답동,1**,8m미만,42.06,월세,202411,27,"14,000",5,1993.0,용답중앙11나길,202501~202701,신규,-,,,다가구,성동구,성동구 용답중앙11나길,성동구 용답중앙11나길,37.566575756224,127.051955994604,용답동
78,서울특별시 성북구 석관동,3**,8m미만,56.07,전세,202411,27,"22,000",0,2018.0,화랑로18길,-,-,-,,,다가구,성북구,성북구 화랑로18길,성북구 화랑로18길,37.6056591403365,127.050231311658,월곡2동
79,서울특별시 은평구 역촌동,7*,8m미만,66.7,월세,202411,27,"3,000",50,1990.0,갈현로7길,202412~202612,신규,-,,,다가구,은평구,은평구 갈현로7길,은평구 갈현로7길,37.6045386987135,126.907616282009,역촌동
80,서울특별시 구로구 고척동,2**,12m미만,49.25,전세,202411,27,"15,000",0,2003.0,중앙로15길,202412~202612,갱신,-,"14,000",0.0,단독,구로구,구로구 중앙로15길,구로구 중앙로15길,37.5070094617323,126.855004460085,고척2동
81,서울특별시 동대문구 답십리동,9*,8m미만,12.0,월세,202411,27,500,47,2018.0,전농로11길,202501~202701,신규,-,,,단독,동대문구,동대문구 전농로11길,동대문구 전농로11길,37.574308819002,127.057029414935,답십리1동
82,서울특별시 광진구 능동,2**,8m미만,30.0,전세,202411,27,"7,000",0,1991.0,능동로32길,202412~202612,신규,-,,,다가구,광진구,광진구 능동로32길,광진구 능동로32길,37.553733348905,127.082953485648,능동
83,서울특별시 성동구 성수동1가,2**,8m미만,37.8,전세,202411,27,"16,000",0,1987.0,둘레5길,202411~202612,신규,-,,,단독,성동구,성동구 둘레5길,성동구 둘레5길,37.5378149537924,127.048015047513,성수1가1동
84,서울특별시 강서구 화곡동,3**,8m미만,53.86,전세,202411,27,"16,000",0,1993.0,강서로17다길,202412~202612,신규,-,,,다가구,강서구,강서구 강서로17다길,강서구 강서로17다길,37.5333227181772,126.842164095765,화곡1동
85,서울특별시 강서구 화곡동,3**,8m미만,35.12,월세,202411,27,"4,000",15,1996.0,가로공원로,-,-,-,,,단독,강서구,강서구 가로공원로,강서구 가로공원로,37.5374140932581,126.838979125395,화곡1동
86,서울특별시 구로구 가리봉동,1**,12m미만,30.0,월세,202411,27,"3,500",15,2006.0,구로동로2길,202411~202611,신규,-,,,다가구,구로구,구로구 구로동로2길,구로구 구로동로2길,37.4839769631681,126.887603900471,가리봉동
87,서울특별시 동작구 상도동,3**,8m미만,16.5,월세,202411,27,"10,000",15,2020.0,상도로15바길,202412~202612,신규,-,,,다가구,동작구,동작구 상도로15바길,동작구 상도로15바길,37.5045526143954,126.934505148855,상도2동
88,서울특별시 동작구 상도1동,7**,8m미만,39.0,전세,202411,27,"7,000",0,1993.0,상도로38나길,202501~202701,신규,-,,,다가구,동작구,동작구 상도로38나길,동작구 상도로38나길,37.5024127900824,126.94723215684,상도1동
89,서울특별시 성동구 하왕십리동,9**,8m미만,220.86,전세,202411,27,"20,400",0,1989.0,왕십리로31가길,202412~202612,갱신,사용,"19,845",0.0,다가구,성동구,성동구 왕십리로31가길,성동구 왕십리로31가길,37.5640313040013,127.028922958699,왕십리2동
90,서울특별시 서대문구 연희동,1**,8m미만,33.0,월세,202411,27,500,55,1997.0,연희로10길,202411~202511,신규,-,,,다가구,서대문구,서대문구 연희로10길,서대문구 연희로10길,37.5651932346339,126.932643236469,연희동
91,서울특별시 종로구 이화동,9*,8m미만,15.0,월세,202411,27,"1,000",40,2012.0,율곡로17길,202501~202701,신규,-,,,단독,종로구,종로구 율곡로17길,종로구 율곡로17길,37.5763739635335,127.004982605862,종로5·6가동
92,서울특별시 서대문구 남가좌동,3**,8m미만,78.78,전세,202411,27,"20,000",0,2001.0,증가로8길,202411~202611,갱신,-,"17,500",0.0,다가구,서대문구,서대문구 증가로8길,서대문구 증가로8길,37.5788690243158,126.92593767629,홍은2동
93,서울특별시 구로구 구로동,5**,8m미만,51.0,월세,202411,27,"2,000",65,1995.0,새말로8길,202501~202701,신규,-,,,다가구,구로구,구로구 새말로8길,구로구 새말로8길,37.5023282660612,126.884755403598,구로5동
94,서울특별시 광진구 자양동,5*,12m미만,28.0,월세,202411,27,"2,000",50,1990.0,동일로4길,202412~202612,갱신,-,"1,000",35.0,단독,광진구,광진구 동일로4길,광진구 동일로4길,37.5360320974028,127.062889737774,자양4동
95,서울특별시 성북구 동소문동6가,2**,12m미만,41.44,전세,202411,27,"15,000",0,1992.0,동소문로15길,202412~202612,신규,-,,,다가구,성북구,성북구 동소문로15길,성북구 동소문로15길,37.5943376153135,127.014605598745,동선동
96,서울특별시 동작구 노량진동,8*,8m미만,13.2,월세,202411,27,300,33,1968.0,장승배기로26길,202411~202511,신규,-,,,단독,동작구,동작구 장승배기로26길,동작구 장승배기로26길,37.5114920097496,126.941438762093,노량진1동
97,서울특별시 은평구 신사동,3**,8m미만,38.76,월세,202411,27,"1,000",45,1990.0,은평터널로7길,202411~202611,신규,-,,,단독,은평구,은평구 은평터널로7길,은평구 은평터널로7길,37.5924398925818,126.903853343902,신사2동
98,서울특별시 송파구 송파동,9*,8m미만,17.0,월세,202411,27,"5,000",45,1997.0,송파대로,-,-,-,,,다가구,송파구,송파구 송파대로,송파구 송파대로,37.5008392832178,127.111182460215,석촌동
99,서울특별시 동대문구 휘경동,2**,8m미만,33.0,월세,202411,27,500,40,1991.0,망우로14가길,202411~202611,신규,-,,,단독,동대문구,동대문구 망우로14가길,동대문구 망우로14가길,37.5871217956764,127.059332938983,휘경2동
100,서울특별시 도봉구 창동,2**,12m미만,20.0,전세,202411,27,"7,000",0,2010.0,해등로16길,202412~202612,신규,-,,,다가구,도봉구,도봉구 해등로16길,도봉구 해등로16길,37.6551234368698,127.042984197771,창5동
101,서울특별시 금천구 시흥동,9**,12m미만,26.18,월세,202411,27,"2,000",94,2021.0,독산로1길,-,-,-,,,다가구,금천구,금천구 독산로1길,금천구 독산로1길,37.449353844926,126.903537027318,시흥1동
102,서울특별시 영등포구 도림동,3*,8m미만,45.12,월세,202411,27,"1,000",50,1986.0,도신로35길,202411~202604,신규,-,,,단독,영등포구,영등포구 도신로35길,영등포구 도신로35길,37.5103083213872,126.908242421687,도림동
103,서울특별시 마포구 신공덕동,1**,12m미만,20.0,월세,202411,27,"1,000",40,1993.0,백범로39길,202411~202511,신규,-,,,다가구,마포구,마포구 백범로39길,마포구 백범로39길,37.5422257197127,126.956427466947,공덕동
